NIM,BAHASA INDONESIA,BAHASA SUMBAWA,BAHASA LOMBOK
,Ibu makan dengan mangga muda.,ina mangan ke pelam uja,
,minta tolong jangan kangen berlebihan.,ngeneng tulung na jina notang,
,Ayah belanja baju di toko baru besar,bapak belanya lamong pang toko rango,
,sepertinya orang itu sedang menunggu,ser tau nan muntu betari,
,Kalian duduk saja dulu,nene tokal bae dunung,
,Dia duduk di kursi panjang dekat laut.,nya tokal pang kursi belo parak ke let,
,Saya kasihan melihat anak kecil itu sendirian.,kaji kenanta gita tode ana mesa,
,Jangan lupa belajar untuk ujian besok.,na kelupa belajar tawa ujian nawar,
,Kita lari pagi agar tubuh sehat.,kita belari jaga bau tubuh sehat,
,"Adik bicara terlalu keras, ibu jadi marah.","adi leong keras lalo, ngamok ina",
,Tolong ambilkan mangga yang jatuh di bawah.,tulung ete pelam de ka teri ko bawa,
,Ibu menyuruh saya tidur cepat malam ini.,ema suru kaji tunung kotar petang ta,
,Kalian jangan suka mencuri,nene na beri nyoro,
,Hari ini matahari terlihat sangat cantik.,anota mata ano gera kengita,
,Kamu duduk di bawah pohon sambil minum teh.,kelam tokal pang bawa puin sambil inum ai the,
,Teman saya bohong pergi ke laut.,dengan kaji bola ka alo ke let,
,Dia melihat orang asing berdiri di ujung jalan.,nya ka gita tau len manang poto ola,
,Ayah tidak suka kalau kamu ribut terus.,bapak no beri lamen kelam tomas teris,
,Kita jangan lupa bawa bekal makan siang.,kita na kelupa bawa me tawa mangan luher,
,Ayo mandi dulu sebelum belajar.,tom maning nong senopoka belajar,
,Orang tua harus menjadi contoh yang baik.,tu loka harus beang contoh de de balong,
,Siapa yang jemur baju di atas meja?,sai de ka sea lamong pang bao meja?,
,Saya ingin pergi ke laut bersama kamu.,kaji sate alo ko let ke kelam,
,Tolong jangan bicara soal itu lagi.,ngeneng tulung na laong hal nan kebali,
,Kamu marah hanya karena lupa makan?,ngamok kelam kanyong leng kelupa mangan?,
,Dia tidur di kursi karena terlalu lelah.,nya tunung pang kursi leng ompa lalo,
,Saya teringat dengan teman masa kecil.,kaji angan dengan muntu ode kaji,
,Jangan berjalan di belakang rumah saat malam.,na belangan pang bungkak bale petang,
,Kita harus ingat untuk pulang kalau sudah waktu.,kita harus tu totang mole lamen kam waya,
,Tolong jangan ribut saat ibu sedang tidur.,Ngeneng tulung na tomas pas ina tunung,
,Ayah duduk di kursi dekat meja makan.,bapak tokal pang kursi parak ke mejang pang mangan,
,Tadi ibu pergi belanja bersama ayah.,tone ina ka alo belanya berema ke bapak,
,Tolong ibu menjemur baju sebelum malam hari,tulung ma sea lamong senopoka petang ano,
,"Jangan lari di dalam rumah, nanti jatuh.","na belari dalam bale, ndi teri",
,Siapa yang mencuri di rumah pak rt?,sai ka nyoro pang bale pak rt?,
,Saya berjalan bersama adik menuju sekolah.,kaji belangan berema ke adi alo ko sekolah,
,Mereka ribut soal meja yang rusak.,tau ana tomas leng mejang rusang,
,Ibu menyuruh saya belajar sebelum tidur.,ina suru kaji belajar senopoka tunung,
,Kita makan mangga bersama di depan rumah,kita kat kakan pelam berema pang angkang bale,
,Ayah duduk di kursi sambil membaca koran.,bapak tokal pang kursi sambil baca koran,
,jangan ganggu adik yang sedang tidur.,na garu adi muntu tunung,
,Saya melihat orang berjalan sendirian di malam malam.,kaji gita tau belangan mesa petang petang,
,Siapa tadi yang bicara keras di kelas?,sai ita de ka keras seda laong pang kelas?,
,"Jangan mencuri barang milik teman, itu perbuatan buruk.","na ete barang ade dengan , boat lenge dean",
,Ibu dan ayah adalah orang tua yang baik,ina ke bapak kaji tau loka de balong,
,Kita belajar bersama sebelum ujian,kita belajar berema senopoka ujian,
,bantu saya jemur baju di halaman.,tulung kaji sea lamong pang pekarangan,
,"Jangan ribut, bayi sedang tidur.","na tomas, tode muntu tunung",
,Saya dan adik belanja sayur bersama ibu.,kaji ke adi belanya jembrai ke ina,
,Tadi saya lupa menyimpan ikan di kulkas.,tone kaji kelupa sio jangan pang kulkas,
,Ayah pulang dari pasar dengan membawa mangga.,bapak mole kaleng amat bawa pelam,
,Kami duduk di meja makan sambil bicara.,kami tokal mangan pang meja mangan sambil laong,
,Jangan suka berjalan sendiri di malam hari.,na beri belangan mesa petang ano,
,Saya melihat adik berlari menuju pintu.,kaji gita adi belari tata lawang,
,Tolong sampaikan pesan ini kepada ibu.,ngaro bada pesan ta ko ina,
,Siapa yang duduk di kursi saya tadi?,sai ka tokal pang kursi saya ita,
,Kita jangan lupa mencuci baju sebelum besok.,kita na kelupa biso lamong senopoka nawar,
,Ikan itu sudah dibersihkan oleh ayah tadi.,jangan nan kam ya sebersi leng bapak tone,
,Orang tua harus menjadi teladan dalam keluarga.,tu loka harus dadi teladan pang dalam keluarga,
,Saya ingin belajar di meja dekat jendela.,kaji sate belajar pang mejang ndeng jendela,
,Tolong jangan bicara kasar kepada orang tua.,ngaro na beleng de kasar ke tu loka,
,Ibu sedang mencuci baju,ina muntu biso lamong,
,Tadi saya melihat seseorang mencuri buah mangga.,tone saya gita tau soro bua pelam,
,Ayah dan ibu sering belanja bersama di pasar.,bapak ke ina roa belanya berema ko amat,
,Jangan lupa mandi sebelum makan malam.,na kelupa maning senopoka mangan,
,Saya merasa kasihan melihat anak itu sendirian.,kaji kenanta gita tode ana mesa,
,Kita akan belajar bersama sore ini.,kita yatu belajar berema rawi ta,
,Tolong ambilkan mangga yang jatuh ke bawah meja.,ngaro ete pelam de ka teri ke bawa meja,
,Adik belajar dengan serius di kursi belakang.,adi belajar serius pang kursi bungkak,
,Ayah menyuruh saya jangan bermain sebelum belajar.,bapak suru kaji na bekedek senopoka belajar,
,Ibu menunggu ayah pulang dari bekerja.,ina tari bapak mole kerja,
,Tolong jangan tinggalkan adik sendirian di rumah.,ngaro na bilen adi mesa pang bale,
,Saya dan teman duduk di kursi dekat laut.,kaji ke dengan tokal ke dengan pang kursi parak ke let,
,Siapa yang memakan nasi dan ikan di sini tadi?,sai ka kakan me ke jangan de pang ta ita?,
,Jangan suka ribut saat pelajaran berlangsung.,na beri tomas muntu pelajaran,
,Kami belajar tentang cara mencuci dan menjemur baju.,kami kat belajar melok cara biso ke sea lamong,
,Tolong bantu ibu menyiapkan meja makan.,tulung ina periri mejang pang mangan,
,"Sebelum tidur, ayah selalu bicara hal baik kepada saya.","senopoka tunung, bapak roa beleng de balong ke saya",
,siapa yang menikah tadi?,sai ka pengantan ita?,
Magfiratul Jannah (221001058),hari,ano,
,gunung,olat,
,tangga,anar,
,pergi,alo,
,kemarin,perap,
,pohon,puen,
,makan,mangan,
,tidur,tunung,
,asin,pare,
,ikan,jangan,
,sayur,jembrai,
,garam,sira,
,rumah,bale,
,kebun,keban,
,matahari,mata ano,
,air,ai,
,membaca,maca,
,berjalan,belangan,
,berlari,belari,
,dingin,ngelar,
,gelap,ungkap,
,kecil,ode,
,besar,rea,
,hitam,pisak,
,pisau,ladeng,
,piring,talang,
,duduk,tokal,
,pintu,lawang,
,enak,nyaman,
,dekat,parak,
,jauh,do,
,panjang,belo,
,pendek,pene,
,tangan,ima,
,kepala,otak,
,daun,godong,
,baju,lamong,
,celana,seluar,
,kenapa,kuda,
,bagaimana,melok,
,siapa,sai,
,dimana,mepang,
,tidak ada,nonda,
,benar,tutu,
,baru,beru,
,lama,le,
,botol,butel,
,saku,pecikang,
,lilin,dila,
,hidung,idong,
,sendok,sidu,
,sandal,sendal,
,orang,tau,
,tidak mau,noto,
,gigi,iset,
,kaki,ne,
,pegang,nti,
,korek,colo,
,lihat,ingo,
,jambu,nyamong,
,mangga,pelam,
,muka,rua,
,bantal,galang,
,cuci piring,berentas,
,cuci baju,mopo,
,bambu,aer,
,sampah,roro,
,pasir,gersek,
,satu,sopo,
,tiga,telu,
,tuju,pitu,
,delapan,balu,
,sembilan,siwa,
,kucing,bodok,
,kerbau,kebo,
,burung,pio,
,katak,lepang,
,belut,linung,
,cacing,belati,
,ular,bele,
,nyamuk,renget,
,kuda,jaran,
,roda,ban,
,mundur,suret,
,kesemuta,kemate,
,jidat,tata,
,kulit,luket,
,kacang,rapo,
,suara,seda,
,ranting,bewe,
,kain,kere,
,kotor,lesek,
,bagus,gera,
,jelek,lenge,
,nunduk,ngunuk,
,pegal,gengal,
,baring,ngulang,
,padi,pade,
,bunga,kemang,
,jagung,baso,
,hari ini ibu dan ayah pergi ke kondangan,amota mak ke bapak alo ko pengantan,
,kemarin teman-teman saya naik gunung,seperap dengan ku lalo ntek olat,
,adik saya jatuh dari tangga,adi ku teri kaleng anar,
,ibu mengajak saya pergi ke pasar,mak ajak ku alo ko amat,
,kemarin hari senin,perap ano senen,
,di depan rumah saya ada pohon jambu,nangkang bale ku ada puen nyamong,
,ayo pergi makan ke rumah saya,tom alo mangan ko bale kaku,
,tadi malam saya susah tidur,serawi kesaket ku tunung,
,"sup ini terasa terlalu asin, mungkin garamnya kebanyakan","sop nan pare lalo, terang peno lalo sira",
,aku makan pakai ikan,aku mangan ke jangan,
,ibu meminta saya untuk memetik sayur,mak suru ku alo bau jembrai,
,kenapa garam rasanya asin,kuda bua sira pare rasa,
,rumah saya banyak orang,bale kaku peno tau,
,ayah membuat pagar bambu di sekitar kebun agar tidak dimasuki hewan,bapak pina pagar aer pang keban bau no tama binatang,
,aku melihat matahari tenggelam,aku gita mata ano selam,
,air sungai sanagt deras setelah hujan,ai berang rea jira ujan,
,tadi malam aku membaca buku,serawi kak maca buku,
,"setiap pagi, ayah dan ibu berjalan keliling komplek",runtung jaga mak ke bapak belangan keliong komplek,
,kucing itu berlari mengejar bola di taman,bodok nan belari apan bal pang taman,
,semalam rasanya sangat dingin sekali,serawi ngelar benar,
,tadi malam sangat gelap karena mati lampu,serawi ungkap benar leng ka mate lampu,
,dia membuat jajan sangat keci,nya ka pina tepong ode lalo,
,hujan kemarin sangat besar,ujan sepreap rea benar,
,tas hitam ibu milik orang itu,tas pisak nan tau nan baeng,
,hati- hati pisau itu sangat tajam,jaga ladeng nan tayam lalo,
,saya membawa 11 piring saat magang,aku bawa solas talang ntu magang,
,"mereka duduk berdua di taman, berbicara tentang tugas hari ini","tau nan tokal dua pang taman, selaong boat ano ta",
,tolong tutup pintu sebelum nyamuk masuk,ngaro tutup lawang senopoka tama renget,
,tidur siang dihari libur itu sangat enak,tunung luher ano libur nan nyaman benar,
,"rumah ku dekat dengan sekolah, jadi aku bisa jalan kaki setiap hari","bale ku parak ke sekolah, jadi bau ku belangan alo runtung ano",
,"jangan berdiri terlalu jauh dari kita, nanti tersesat","na manang do lalo kaleng kita, ndi mu kesasang",
,rambutnya sudah terlalu panjang dan perlu di potong,"bulunya kam belo benar, harus ya tetak",
,dia memakai celana pendek karena cuaca hari ini sanagt panas,nya kenang seluar pene apa cuaca to panas lalo,
,tangan kirinya terluka karena jatuh saat bermain,ima kirinya bakat leng ka teri ntu bekedek,
,"jangan memukul kepala orang lain, itu sangat bahaya","na pukel otak tau, apa bahaya dean",
,seekor ulat kecil berjalan di atas dauh mangga,ulat ode belangan pang bao godong pelam,
,ibu sedang menyetrika baju untuk dipakai besok,mak ntu seterika lamong tawa kenang nawar,
,adik menangis karena celananya robek saat bermain,adi ka nangis leng ka berek seluar ntu bekedek,
,kenapa kamu tidak masuk sekolah kemarin,kuda nongka mu tama sekolah seperap,
,bagaimana kmu bisa sampai sini,melok bau kam dapat ta,
,siapa yang mengetuk pintu itu semalam,sai ka ketok lawang serawi,
,apakah kamu tahu dimana dia tinggal,mu to pang nya tedu,
,"dirumah itu tidak ada sinyal, jadi saya kesulitan menghubungi teman","pang bale nan nonda sinyal, kaleng kesaket ku hubungi dengan",
,apakah kamu benar sakit kemarin,tutu kau saket perap ke,
,aku baru pulang dari padar dan membawa banyak sayur,beru kak mole kaleng amat peno kak bawa jembrai,
,rumah tua itu sudah lama di tinggalkan oleh pemiliknya,bale loka nan le mo kaya bilen leng baeng,
,anak itu menangis karena botol minumnya terjatuh dan pecah,tode nan nangis leng ka teri butel ai kaleng ka bela,
,aku menyimpan kunci motor di saku agar tidak hilang,kak sio kunci motor pang pecikang bau no ilang,
,angin kencang memadamkan lilin yang menyala di jendela,aingin rea ya semate dila pang jendela,
,hidungnya bengkak setelah terpukul bola saat bermain sepak bola,idungna bara ka kena bal muntu main bal,
,dia mengambil sendok di atas meja makan,nya ka ete sidu pang bao meja makan,
,sandal anak kecil itu tertinggal di tengah jalan,sendal tode nan ka ketantang pang tenga ola,
,orang tua itu sedang duduk di bangku taman bersama cucunya,diri loka nan tokal pang taman ke papu,
,dia tidak mau makan satur karena rasanya pahit di mulut,nya noroa kakan jembrai apa pet pang boa,
,"setiap pagi dan malam, aku selalu menyikat gigi",runtung jaga petang rajin ku sikat iset,
,"setelah lama berdiri, kakiku terasa pegal sekali",leng le manang gengal rasa ne kku,
,"tolong pegang gelasnya, jangan sampai terjatuh",ngaro nti gelas na sampe teri,
,tolong ambilkan korek di dalam lemari,ngaro ete colo pang dalam lemari,
,aku tidak bisa lihat apa-apa tanpa kaca mata,nok bau ingo apa apa lamen nonda kaca mata,
,saya memetik jambu yang matang dari pohon belakang rumah.,kak bau nyamong masak pang bungkak bale,
,ayah menanam dua pohon mangga di kebun belakang rumah.,bapak tanang dua puen pelam pang bungkak bale,
,ia mencuci muka setiap pagi agar terasa segar,nya tetap biso muka runtung jaga bau senap,
,di kamar ada empat bantal dengan warna berbeda,pang dalam kamar ada 4 galang len len warna,
,"setelah makan malam, aku langsung cuci piring di dapur","jira mangan petang, langsung ku biso talang",
,dia memakai mesin cuci untuk mencuci baju lebih cepat,nya kenang mesin mopo bau lema,
,di belakang rumah kakek tumbuh pohon bambu yang tinggi dan rimbun.,pang bungkak bale papen tumung aer rea tingi,
,jangan membuang sampah sembarangan di jalan,na bolang roro so pikir pang pang ola,
,sepatu saya penuh dengan pasir setelah jalan-jalan di pantai.,sepatu ku peno gersik jira belangan pang let,
,aku hanya punya satu pensil di dalam tas,aku ada sopo pensil pang tas,
,dia membawa tiga buku dari perpustakaan,nya bawa telu buku kaleng perpus,
,jangan lupa mengunci pintu sebelum tidur,na kelupa kunci lawang senopoka tunung,
,anak itu berusia tujuh tahun sekarang,tode nan pitu ten to,
,ibu membeli sembilan butir telur di pasar,ma beli siwa tele pang amat,
,kucing itu tidur di bawah meja,bodok nan tunung pang anok meja,
,"di desa, masih banyak orang memelihara kerbau","pang desa, masi peno tau peliara kebo",
,anak-anak memberi makan burung di taman,tode beang managn pio pang taman,
,kodok hijau itu bersembunyi di balik daun,lepang ijo nan besio nanok godong,
,belut sawah biasanya bersembunyi di dalam lubang tanah,linong uma biasa besio pang dalam bongkang tana,
,cacing keluar dari tanah setelah hujan turun,belati les kaleng tana jira ujan,
,semalam kami melihat ular besar di pinggir jalan,serawi kat ingo bele rea pang ndeng ola,
,banyak nyamuk beterbangan di kamar saat malam hari,peno renget ngibar pang dalam kamar petang ano,
